Key,Value
id,Score
../data/results/1a8bbf2994788e2743e99e0cae970928\25\0.obj,0.1755306463152874
../data/results/1a8bbf2994788e2743e99e0cae970928\25\1.obj,0.31599057504935363
../data/results/1a8bbf2994788e2743e99e0cae970928\25\2.obj,0.21897618797860066
../data/results/1a8bbf2994788e2743e99e0cae970928\25\3.obj,0.37619726920725494
../data/results/1a8bbf2994788e2743e99e0cae970928\25\4.obj,0.5133094516395701
../data/results/1a8bbf2994788e2743e99e0cae970928\25\5.obj,0.29455701819257507
../data/results/1a8bbf2994788e2743e99e0cae970928\25\6.obj,0.37256515775034293
../data/results/1a8bbf2994788e2743e99e0cae970928\25\7.obj,0.09592879512114719
../data/results/1a8bbf2994788e2743e99e0cae970928\25\8.obj,0.5000514509158263
../data/results/1a8bbf2994788e2743e99e0cae970928\50\0.obj,0.7052119527449617
../data/results/1a8bbf2994788e2743e99e0cae970928\50\1.obj,0.722160644350846
../data/results/1a8bbf2994788e2743e99e0cae970928\50\2.obj,0.6399232518476407
../data/results/1a8bbf2994788e2743e99e0cae970928\50\3.obj,0.6973127813395171
../data/results/1a8bbf2994788e2743e99e0cae970928\50\4.obj,0.6992609826194061
../data/results/1a8bbf2994788e2743e99e0cae970928\50\5.obj,0.6933351413655163
../data/results/1a8bbf2994788e2743e99e0cae970928\50\6.obj,0.6876205443245946
../data/results/1a8bbf2994788e2743e99e0cae970928\50\7.obj,0.6938055499016216
../data/results/1a8bbf2994788e2743e99e0cae970928\50\8.obj,0.7304923278307032
../data/results/1a8bbf2994788e2743e99e0cae970928\75\0.obj,0.7297138232914
../data/results/1a8bbf2994788e2743e99e0cae970928\75\1.obj,0.7291023945938006
../data/results/1a8bbf2994788e2743e99e0cae970928\75\2.obj,0.7223040659988215
../data/results/1a8bbf2994788e2743e99e0cae970928\75\3.obj,0.6386234463806133
../data/results/1a8bbf2994788e2743e99e0cae970928\75\4.obj,0.733440915425805
../data/results/1a8bbf2994788e2743e99e0cae970928\75\5.obj,0.7349112426035503
../data/results/1a8bbf2994788e2743e99e0cae970928\75\6.obj,0.7281389723667815
../data/results/1a8bbf2994788e2743e99e0cae970928\75\7.obj,0.7309325135412091
../data/results/1a8bbf2994788e2743e99e0cae970928\75\8.obj,0.7275530430952206
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\25\0.obj,0.05732484076433121
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\25\1.obj,0.09837622258095148
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\25\2.obj,0.15265519820493642
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\25\3.obj,0.10978652619905739
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\25\4.obj,0.0953556731334509
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\25\5.obj,0.12309583987977321
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\25\6.obj,0.1370840594141565
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\25\7.obj,0.07760070473292224
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\25\8.obj,0.043472906403940886
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\50\0.obj,0.23773047118553486
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\50\1.obj,0.24111632584646328
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\50\2.obj,0.24498502994011975
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\50\3.obj,0.2449430262344316
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\50\4.obj,0.22015938348366756
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\50\5.obj,0.24530516431924881
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\50\6.obj,0.21665924276169266
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\50\7.obj,0.2176193921852388
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\50\8.obj,0.2200742211098645
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\75\0.obj,0.22719676312780368
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\75\1.obj,0.2209453037241856
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\75\2.obj,0.22557773109243698
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\75\3.obj,0.22582354499690896
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\75\4.obj,0.22021535255296978
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\75\5.obj,0.2573156899810964
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\75\6.obj,0.22127511524745586
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\75\7.obj,0.22744577246569278
../data/results/1a6f615e8b1b5ae4dbbc9440457e303e\75\8.obj,0.22682756208464497
../data/results/1b5e876f3559c231532a8e162f399205\25\0.obj,0.25491828418700435
../data/results/1b5e876f3559c231532a8e162f399205\25\1.obj,0.25342899345853553
../data/results/1b5e876f3559c231532a8e162f399205\25\2.obj,0.3016992625841616
../data/results/1b5e876f3559c231532a8e162f399205\25\3.obj,0.25401730531520395
../data/results/1b5e876f3559c231532a8e162f399205\25\4.obj,0.2664022793777915
../data/results/1b5e876f3559c231532a8e162f399205\25\5.obj,0.25202557050472013
../data/results/1b5e876f3559c231532a8e162f399205\25\6.obj,0.22244393008220928
../data/results/1b5e876f3559c231532a8e162f399205\25\7.obj,0.2252141982864137
../data/results/1b5e876f3559c231532a8e162f399205\25\8.obj,0.2013638039071139
../data/results/1b5e876f3559c231532a8e162f399205\50\0.obj,0.563458434221146
../data/results/1b5e876f3559c231532a8e162f399205\50\1.obj,0.5276302851524091
../data/results/1b5e876f3559c231532a8e162f399205\50\2.obj,0.5642514011208967
../data/results/1b5e876f3559c231532a8e162f399205\50\3.obj,0.5445188853286727
../data/results/1b5e876f3559c231532a8e162f399205\50\4.obj,0.5114389765617705
../data/results/1b5e876f3559c231532a8e162f399205\50\5.obj,0.5229913111393146
../data/results/1b5e876f3559c231532a8e162f399205\50\6.obj,0.506353770522215
../data/results/1b5e876f3559c231532a8e162f399205\50\7.obj,0.5584493041749503
../data/results/1b5e876f3559c231532a8e162f399205\50\8.obj,0.49420964070078194
../data/results/1b5e876f3559c231532a8e162f399205\75\0.obj,0.5882585491203796
../data/results/1b5e876f3559c231532a8e162f399205\75\1.obj,0.5865146256817055
../data/results/1b5e876f3559c231532a8e162f399205\75\2.obj,0.5891364902506964
../data/results/1b5e876f3559c231532a8e162f399205\75\3.obj,0.5846460618145564
../data/results/1b5e876f3559c231532a8e162f399205\75\4.obj,0.5902521678461078
../data/results/1b5e876f3559c231532a8e162f399205\75\5.obj,0.590227430727977
../data/results/1b5e876f3559c231532a8e162f399205\75\6.obj,0.6998947670525208
../data/results/1b5e876f3559c231532a8e162f399205\75\7.obj,0.5869716558925907
../data/results/1b5e876f3559c231532a8e162f399205\75\8.obj,0.5890179723959885
../data/results/1b05971a4373c7d2463600025db2266\25\0.obj,0.23266364225534672
../data/results/1b05971a4373c7d2463600025db2266\25\1.obj,0.22504230118443316
../data/results/1b05971a4373c7d2463600025db2266\25\2.obj,0.1794140398375556
../data/results/1b05971a4373c7d2463600025db2266\25\3.obj,0.11753946861763573
../data/results/1b05971a4373c7d2463600025db2266\25\4.obj,0.23304283672246046
../data/results/1b05971a4373c7d2463600025db2266\25\5.obj,0.14532100108813928
../data/results/1b05971a4373c7d2463600025db2266\25\6.obj,0.11413961557777473
../data/results/1b05971a4373c7d2463600025db2266\25\7.obj,0.18407529303077544
../data/results/1b05971a4373c7d2463600025db2266\25\8.obj,0.3366274998054626
../data/results/1b05971a4373c7d2463600025db2266\50\0.obj,0.5753693563384648
../data/results/1b05971a4373c7d2463600025db2266\50\1.obj,0.515461906155497
../data/results/1b05971a4373c7d2463600025db2266\50\2.obj,0.4349077197856718
../data/results/1b05971a4373c7d2463600025db2266\50\3.obj,0.5665900062722141
../data/results/1b05971a4373c7d2463600025db2266\50\4.obj,0.6116402116402117
../data/results/1b05971a4373c7d2463600025db2266\50\5.obj,0.4903879762320867
../data/results/1b05971a4373c7d2463600025db2266\50\6.obj,0.49766749379652603
../data/results/1b05971a4373c7d2463600025db2266\50\7.obj,0.5839574514273309
../data/results/1b05971a4373c7d2463600025db2266\50\8.obj,0.5965287952214584
../data/results/1b05971a4373c7d2463600025db2266\75\0.obj,0.6434570001063038
../data/results/1b05971a4373c7d2463600025db2266\75\1.obj,0.671157516560009
../data/results/1b05971a4373c7d2463600025db2266\75\2.obj,0.5797161936560935
../data/results/1b05971a4373c7d2463600025db2266\75\3.obj,0.46064306064306065
../data/results/1b05971a4373c7d2463600025db2266\75\4.obj,0.6753920918930859
../data/results/1b05971a4373c7d2463600025db2266\75\5.obj,0.4815336620710476
../data/results/1b05971a4373c7d2463600025db2266\75\6.obj,0.6748351648351648
../data/results/1b05971a4373c7d2463600025db2266\75\7.obj,0.6295264623955432
../data/results/1b05971a4373c7d2463600025db2266\75\8.obj,0.4300528272353747
../data/results/1b80175cc081f3e44e4975e87c20ce53\25\0.obj,0.36363636363636365
../data/results/1b80175cc081f3e44e4975e87c20ce53\25\1.obj,0.31953540096379585
../data/results/1b80175cc081f3e44e4975e87c20ce53\25\2.obj,0.2654504839910648
../data/results/1b80175cc081f3e44e4975e87c20ce53\25\3.obj,0.25038729666924864
../data/results/1b80175cc081f3e44e4975e87c20ce53\25\4.obj,0.17611255238475354
../data/results/1b80175cc081f3e44e4975e87c20ce53\25\5.obj,0.2255800898203593
../data/results/1b80175cc081f3e44e4975e87c20ce53\25\6.obj,0.31940035273368605
../data/results/1b80175cc081f3e44e4975e87c20ce53\25\7.obj,0.17961440317550326
../data/results/1b80175cc081f3e44e4975e87c20ce53\25\8.obj,0.1738355089521364
../data/results/1b80175cc081f3e44e4975e87c20ce53\50\0.obj,0.5966366650876362
../data/results/1b80175cc081f3e44e4975e87c20ce53\50\1.obj,0.422406462585034
../data/results/1b80175cc081f3e44e4975e87c20ce53\50\2.obj,0.45642633228840124
../data/results/1b80175cc081f3e44e4975e87c20ce53\50\3.obj,0.5646827348745695
../data/results/1b80175cc081f3e44e4975e87c20ce53\50\4.obj,0.5012782275244994
../data/results/1b80175cc081f3e44e4975e87c20ce53\50\5.obj,0.4943078324225865
../data/results/1b80175cc081f3e44e4975e87c20ce53\50\6.obj,0.5522528898325076
../data/results/1b80175cc081f3e44e4975e87c20ce53\50\7.obj,0.41534536176416986
../data/results/1b80175cc081f3e44e4975e87c20ce53\50\8.obj,0.49069247952345496
../data/results/1b80175cc081f3e44e4975e87c20ce53\75\0.obj,0.5084348641049672
../data/results/1b80175cc081f3e44e4975e87c20ce53\75\1.obj,0.6037688442211055
../data/results/1b80175cc081f3e44e4975e87c20ce53\75\2.obj,0.6321897073662966
../data/results/1b80175cc081f3e44e4975e87c20ce53\75\3.obj,0.6228557013118062
../data/results/1b80175cc081f3e44e4975e87c20ce53\75\4.obj,0.6663095875736476
../data/results/1b80175cc081f3e44e4975e87c20ce53\75\5.obj,0.6331226295828066
../data/results/1b80175cc081f3e44e4975e87c20ce53\75\6.obj,0.6560298383754662
../data/results/1b80175cc081f3e44e4975e87c20ce53\75\7.obj,0.5970788214555528
../data/results/1b80175cc081f3e44e4975e87c20ce53\75\8.obj,0.6752618855761483
../data/results/1bb81d54471d7c1df51f77a6d7299806\25\0.obj,0.0040895149380892875
../data/results/1bb81d54471d7c1df51f77a6d7299806\25\1.obj,0.1708963282937365
../data/results/1bb81d54471d7c1df51f77a6d7299806\25\2.obj,0.3704411652266993
../data/results/1bb81d54471d7c1df51f77a6d7299806\25\3.obj,0.22686433063791556
../data/results/1bb81d54471d7c1df51f77a6d7299806\25\4.obj,0.14816024384933596
../data/results/1bb81d54471d7c1df51f77a6d7299806\25\5.obj,0.15220193340494093
../data/results/1bb81d54471d7c1df51f77a6d7299806\25\6.obj,0.2526002971768202
../data/results/1bb81d54471d7c1df51f77a6d7299806\25\7.obj,0.2806881720430108
../data/results/1bb81d54471d7c1df51f77a6d7299806\25\8.obj,0.2907574353357486
../data/results/1bb81d54471d7c1df51f77a6d7299806\50\0.obj,0.3528487790946737
../data/results/1bb81d54471d7c1df51f77a6d7299806\50\1.obj,0.32771602724991034
../data/results/1bb81d54471d7c1df51f77a6d7299806\50\2.obj,0.34693033831737063
../data/results/1bb81d54471d7c1df51f77a6d7299806\50\3.obj,0.34045844466319786
../data/results/1bb81d54471d7c1df51f77a6d7299806\50\4.obj,0.3319666336773646
../data/results/1bb81d54471d7c1df51f77a6d7299806\50\5.obj,0.3338684908557867
../data/results/1bb81d54471d7c1df51f77a6d7299806\50\6.obj,0.3303886925795053
../data/results/1bb81d54471d7c1df51f77a6d7299806\50\7.obj,0.33235806339254614
../data/results/1bb81d54471d7c1df51f77a6d7299806\50\8.obj,0.34590494746364203
../data/results/1bb81d54471d7c1df51f77a6d7299806\75\0.obj,0.353984896253391
../data/results/1bb81d54471d7c1df51f77a6d7299806\75\1.obj,0.36610070684252716
../data/results/1bb81d54471d7c1df51f77a6d7299806\75\2.obj,0.34618203136450243
../data/results/1bb81d54471d7c1df51f77a6d7299806\75\3.obj,0.3336791404223787
../data/results/1bb81d54471d7c1df51f77a6d7299806\75\4.obj,0.3476952436876101
../data/results/1bb81d54471d7c1df51f77a6d7299806\75\5.obj,0.34049864736418806
../data/results/1bb81d54471d7c1df51f77a6d7299806\75\6.obj,0.35778214363676053
../data/results/1bb81d54471d7c1df51f77a6d7299806\75\7.obj,0.3485136916093132
../data/results/1bb81d54471d7c1df51f77a6d7299806\75\8.obj,0.35608113055575896
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\25\0.obj,0.21284289920958827
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\25\1.obj,0.15140820462645888
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\25\2.obj,0.17094570007682044
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\25\3.obj,0.5422766995800704
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\25\4.obj,0.24614699827519057
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\25\5.obj,0.303409652446055
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\25\6.obj,0.3203205495134516
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\25\7.obj,0.40671281390856406
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\25\8.obj,0.22068712556547254
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\50\0.obj,0.599217174712371
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\50\1.obj,0.6360441767068273
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\50\2.obj,0.4699934051439877
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\50\3.obj,0.6522126144455748
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\50\4.obj,0.6229447397700582
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\50\5.obj,0.6290261937586163
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\50\6.obj,0.6141463414634146
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\50\7.obj,0.6105207923389742
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\50\8.obj,0.5467773226988575
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\75\0.obj,0.7023516543614985
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\75\1.obj,0.7078620689655173
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\75\2.obj,0.7145633763709566
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\75\3.obj,0.705607476635514
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\75\4.obj,0.7103410189148143
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\75\5.obj,0.7057205720572057
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\75\6.obj,0.4935801041064199
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\75\7.obj,0.7106683271066833
../data/results/1bcd9c3fe6c9087e593ebeeedbff73b\75\8.obj,0.6944632462434006
